Delivery ID,Date,Day,Time Slot,Neighborhood,Referring Agency,Family Size,Furniture Items,Truck,Driver,Status,Risk Flag
D1001,2026-04-28,Tuesday,02:30 PM,North York,Eva's Initiatives,6,Living room set,Truck 2,Devon L.,Scheduled,
D1002,2026-04-28,Tuesday,08:30 AM,Downtown East,COSTI Immigrant Services,5,Sofa + coffee table,Truck 1,Marcus T.,Completed,
D1003,2026-04-28,Tuesday,08:00 AM,Regent Park,Salvation Army,3,Full bedroom set,Truck 5,Omar K.,Completed,
D1004,2026-04-28,Tuesday,03:00 PM,Etobicoke,CAMH,3,Sofa + coffee table,Truck 4,Priya S.,Scheduled,
D1005,2026-04-28,Tuesday,08:30 AM,Lawrence Heights,Toronto Community Housing,1,Dining table + 4 chairs,Truck 1,Priya S.,Scheduled,
D1006,2026-04-28,Tuesday,11:00 AM,Jane-Finch,Covenant House,6,Kitchen essentials + bed,Truck 4,Marcus T.,Cancelled,
D1007,2026-04-29,Wednesday,01:00 PM,Jane-Finch,Salvation Army,2,Bed frame + mattress,Truck 1,Marcus T.,Scheduled,
D1008,2026-04-29,Wednesday,11:30 AM,Thorncliffe Park,Eva's Initiatives,2,Dining table + 4 chairs,Truck 4,Priya S.,Scheduled,
D1009,2026-04-29,Wednesday,10:00 AM,Downtown East,Covenant House,4,Sofa + coffee table,Truck 5,Devon L.,Cancelled,
D1010,2026-04-29,Wednesday,02:00 PM,Scarborough,Salvation Army,3,Kitchen essentials + bed,Truck 3,Marcus T.,At Risk,Truck capacity conflict
D1011,2026-04-29,Wednesday,08:00 AM,Regent Park,Salvation Army,6,Dresser + bed frame,Truck 5,Priya S.,At Risk,Truck capacity conflict
D1012,2026-04-29,Wednesday,10:00 AM,Jane-Finch,Covenant House,5,Living room set,Truck 2,Sandra W.,At Risk,Client unreachable
D1013,2026-04-29,Wednesday,10:00 AM,North York,Fred Victor,1,Kitchen essentials + bed,Truck 2,Sandra W.,At Risk,No elevator access
D1014,2026-04-29,Wednesday,09:00 AM,Malvern,COSTI Immigrant Services,5,Dresser + bed frame,Truck 4,Sandra W.,Scheduled,
D1015,2026-04-29,Wednesday,01:00 PM,Thorncliffe Park,CAMH,3,Bed frame + mattress,Truck 1,Sandra W.,At Risk,Truck capacity conflict
D1016,2026-04-29,Wednesday,11:00 AM,Weston,Eva's Initiatives,6,Bed frame + mattress,Truck 3,Sandra W.,At Risk,Client unreachable
D1017,2026-04-30,Thursday,01:00 PM,Weston,Eva's Initiatives,5,Kitchen essentials + bed,Truck 2,Priya S.,Cancelled,
D1018,2026-04-30,Thursday,01:30 PM,Thorncliffe Park,COSTI Immigrant Services,3,Kitchen essentials + bed,Truck 4,Marcus T.,Scheduled,
D1019,2026-04-30,Thursday,08:00 AM,Regent Park,COSTI Immigrant Services,1,Kitchen essentials + bed,Truck 5,Marcus T.,Scheduled,
D1020,2026-04-30,Thursday,03:00 PM,Etobicoke,Covenant House,5,Dining table + 4 chairs,Truck 2,Omar K.,Completed,
